,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE
94,LZD,0.15,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659
95,LZD,0.15,0.95,0.3016304347826087,0.9977308602999211,0.9926417544365892
96,LZD,0.2,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659
97,LZD,0.2,0.95,0.3008130081300813,0.9977392244556937,0.9962968306641659
98,LZD,0.25,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659
99,LZD,0.25,0.95,0.3008130081300813,0.9977392244556937,0.9962968306641659
100,MXF,0.05,0.9,0.9473971109294086,0.9109904677734991,0.8678053553954275
101,MXF,0.05,0.95,0.947354064375341,0.9108251996450755,0.864869673516591
102,MXF,0.1,0.9,0.9460864805692392,0.9137651316610508,0.8753669602348545
103,MXF,0.1,0.95,0.9456701599558742,0.9151480994426702,0.871586157815141
104,MXF,0.15,0.9,0.945273631840796,0.9169204001739887,0.8767458411173383
105,MXF,0.15,0.95,0.9454897620365246,0.9168698043627727,0.872386798327551
106,MXF,0.2,0.9,0.945364238410596,0.9180419406874302,0.878124721999822
107,MXF,0.2,0.95,0.9451219512195121,0.9180042304342416,0.875455920291789
108,MXF,0.25,0.9,0.9447375728964177,0.9189239447096015,0.8777688817720843
109,MXF,0.25,0.95,0.9449694274596998,0.9188434572190854,0.8769237612312072
110,RIF,0.05,0.9,0.9625052076100542,0.9728759195342189,0.971608334836731
111,RIF,0.05,0.95,0.9624973956524758,0.9728262772700214,0.9686992603283421
112,RIF,0.1,0.9,0.9623625991373312,0.9730753196220122,0.9732545552949666
113,RIF,0.1,0.95,0.9624190966664347,0.9731667420735739,0.9719917012448133
114,RIF,0.15,0.9,0.961682892906815,0.9734933131639564,0.9802228035359913
115,RIF,0.15,0.95,0.9616775629433857,0.9734592582379705,0.9784863792170305
116,RIF,0.2,0.9,0.9609911504424778,0.9815936062000484,0.9703229298213963
117,RIF,0.2,0.95,0.9609911504424778,0.9815585135884637,0.9690826267364243
118,RIF,0.25,0.9,0.9609911504424778,0.9816412450824764,0.9720142522099946
119,RIF,0.25,0.95,0.9609358383551931,0.9816691453671359,0.9700974201695832
120,STM,0.05,0.9,0.956813604833296,0.8898245614035087,0.9410871765216134
121,STM,0.05,0.95,0.9564530685920578,0.8985473012873509,0.9324128957640596
122,STM,0.1,0.9,0.9555504375863657,0.9033483733080029,0.9226543299118115
123,STM,0.1,0.95,0.955355077492482,0.9065776930409915,0.9191123319358103
124,STM,0.15,0.9,0.9547373358348968,0.914535022710973,0.912968049732543
125,STM,0.15,0.95,0.9541894137194399,0.9185077870336834,0.9032817695532745
126,STM,0.2,0.9,0.9539739027283511,0.9183454523781142,0.911088622235073
127,STM,0.2,0.95,0.952935468219311,0.9281828073993471,0.8958363452363741
128,STM,0.25,0.9,0.9515655577299413,0.9337196667873958,0.8942460604308227
129,STM,0.25,0.95,0.9514149762083647,0.9360874848116646,0.8835477808298395
